instance_name,stretch_index,lower_bound
jupiter/graph_1534.txt,3,2
jupiter/graph_1535.txt,3,2
jupiter/graph_1537.txt,3,3
jupiter/graph_1538.txt,3,2
jupiter/graph_1539.txt,2,2
jupiter/graph_1540.txt,3,2
jupiter/graph_1541.txt,3,2
jupiter/graph_1543.txt,2,2
jupiter/graph_1544.txt,3,3
jupiter/graph_1547.txt,2,2
jupiter/graph_1548.txt,3,2
jupiter/graph_1549.txt,2,2
jupiter/graph_1550.txt,3,2
jupiter/graph_1551.txt,2,2
jupiter/graph_1552.txt,2,2
jupiter/graph_1553.txt,3,2
jupiter/graph_1554.txt,3,2
jupiter/graph_1556.txt,3,2
jupiter/graph_1557.txt,3,2
jupiter/graph_1558.txt,3,2
jupiter/graph_1559.txt,2,2
jupiter/graph_1561.txt,3,2
jupiter/graph_1562.txt,3,2
jupiter/graph_1563.txt,3,2
jupiter/graph_1564.txt,2,2
jupiter/graph_1565.txt,3,2
jupiter/graph_1566.txt,2,2
jupiter/graph_1568.txt,2,2
jupiter/graph_1569.txt,2,2
jupiter/graph_1570.txt,3,3
jupiter/graph_1572.txt,3,2
jupiter/graph_1573.txt,3,3
jupiter/graph_1579.txt,2,2
jupiter/graph_1580.txt,3,2
jupiter/graph_1582.txt,2,2
jupiter/graph_1583.txt,3,3
jupiter/graph_1584.txt,3,2
jupiter/graph_1585.txt,2,2
jupiter/graph_1588.txt,3,2
jupiter/graph_1589.txt,3,2
jupiter/graph_1591.txt,2,2
jupiter/graph_1592.txt,2,2
jupiter/graph_1593.txt,3,2
jupiter/graph_1594.txt,3,2
jupiter/graph_1595.txt,2,2
jupiter/graph_1597.txt,2,2
jupiter/graph_1598.txt,2,2
jupiter/graph_1601.txt,3,2
jupiter/graph_1602.txt,2,2
jupiter/graph_1603.txt,3,3
jupiter/graph_1605.txt,3,2
jupiter/graph_1607.txt,3,2
jupiter/graph_1609.txt,3,2
jupiter/graph_1614.txt,3,2
jupiter/graph_1616.txt,2,2
jupiter/graph_1617.txt,3,2
jupiter/graph_1619.txt,3,2
jupiter/graph_1620.txt,3,2
jupiter/graph_1621.txt,2,2
jupiter/graph_1622.txt,3,2
jupiter/graph_1626.txt,3,2
jupiter/graph_1627.txt,2,2
jupiter/graph_1630.txt,3,2
jupiter/graph_1631.txt,3,2
jupiter/graph_1632.txt,3,2
jupiter/graph_1636.txt,2,2
jupiter/graph_1637.txt,3,2
jupiter/graph_1641.txt,3,2
jupiter/graph_1642.txt,3,2
jupiter/graph_1643.txt,2,2
jupiter/graph_1644.txt,3,2
jupiter/graph_1646.txt,3,3
jupiter/graph_1647.txt,2,2
jupiter/graph_1651.txt,3,2
jupiter/graph_1652.txt,3,2
jupiter/graph_1653.txt,2,2
jupiter/graph_1655.txt,2,2
jupiter/graph_1656.txt,3,2
jupiter/graph_1659.txt,2,2
jupiter/graph_1660.txt,2,2
jupiter/graph_1661.txt,3,2
jupiter/graph_1662.txt,2,2
jupiter/graph_1663.txt,3,2
jupiter/graph_1664.txt,2,2
jupiter/graph_1666.txt,2,2
jupiter/graph_1669.txt,2,2
jupiter/graph_1673.txt,3,3
jupiter/graph_1676.txt,2,2
jupiter/graph_1677.txt,3,2
jupiter/graph_1679.txt,3,3
